change_field_id,change_field_name,table_id,description
326,group_id,43,
327,user_id,43,
328,group_name,43,
329,description,43,
330,group_id,44,
331,user_id,44,
332,group_name,44,
333,description,44,
334,group_id,45,
335,user_id,45,
336,group_name,45,
337,description,45,
338,group_id,46,
339,user_id,46,
340,group_name,46,
341,description,46,
342,source_type_id,47,
343,type_name,47,
344,code_id,47,
345,description,47,
346,source_id,21,
347,user_id,21,
348,code_id,21,
349,share_type_id,21,
350,protect_id,21,
351,ref_type_id,48,
352,type_name,48,
353,code_id,48,
354,description,48,
355,base_url,48,
356,ref_id,24,
357,user_id,24,
358,share_type_id,24,
359,protect_id,24,
360,phrase_id_1,49,
361,phrase_id_2,49,
362,phrase_id_3,49,
363,phrase_id_4,49,
364,numeric_value,49,
365,source_id,49,
366,group_id,50,
367,numeric_value,50,
368,source_id,50,
369,group_id,2,
370,user_id,2,
371,group_id,3,
372,user_id,3,
373,phrase_id_1,51,
374,phrase_id_2,51,
375,phrase_id_3,51,
376,phrase_id_4,51,
377,numeric_value,51,
378,source_id,51,
379,last_update,51,
380,user_id,51,
381,excluded,51,
382,share_type_id,51,
383,protect_id,51,
384,phrase_id_1,52,
385,phrase_id_2,52,
386,phrase_id_3,52,
387,phrase_id_4,52,
388,user_id,52,
389,numeric_value,52,
390,source_id,52,
391,last_update,52,
392,excluded,52,
393,share_type_id,52,
394,protect_id,52,
395,group_id,53,
396,numeric_value,53,
397,source_id,53,
398,last_update,53,
399,user_id,53,
400,excluded,53,
401,share_type_id,53,
402,protect_id,53,
403,group_id,54,
404,user_id,54,
405,numeric_value,54,
406,source_id,54,
407,last_update,54,
408,excluded,54,
409,share_type_id,54,
410,protect_id,54,
411,phrase_id_1,55,
412,phrase_id_2,55,
413,phrase_id_3,55,
414,phrase_id_4,55,
415,text_value,55,
416,source_id,55,
417,group_id,56,
418,text_value,56,
419,source_id,56,
420,group_id,57,
421,text_value,57,
422,source_id,57,
423,last_update,57,
424,user_id,57,
425,excluded,57,
426,share_type_id,57,
427,protect_id,57,
428,group_id,58,
429,user_id,58,
430,text_value,58,
431,source_id,58,
432,last_update,58,
433,excluded,58,
434,share_type_id,58,
435,protect_id,58,
436,phrase_id_1,59,
437,phrase_id_2,59,
438,phrase_id_3,59,
439,phrase_id_4,59,
440,text_value,59,
441,source_id,59,
442,last_update,59,
443,user_id,59,
444,excluded,59,
445,share_type_id,59,
446,protect_id,59,
447,phrase_id_1,60,
448,phrase_id_2,60,
449,phrase_id_3,60,
450,phrase_id_4,60,
451,user_id,60,
452,text_value,60,
453,source_id,60,
454,last_update,60,
455,excluded,60,
456,share_type_id,60,
457,protect_id,60,
458,group_id,61,
459,text_value,61,
460,source_id,61,
461,last_update,61,
462,user_id,61,
463,excluded,61,
464,share_type_id,61,
465,protect_id,61,
466,group_id,62,
467,user_id,62,
468,text_value,62,
469,source_id,62,
470,last_update,62,
471,excluded,62,
472,share_type_id,62,
473,protect_id,62,
474,phrase_id_1,63,
475,phrase_id_2,63,
476,phrase_id_3,63,
477,phrase_id_4,63,
478,time_value,63,
479,source_id,63,
480,group_id,64,
481,time_value,64,
482,source_id,64,
483,group_id,65,
484,time_value,65,
485,source_id,65,
486,last_update,65,
487,user_id,65,
488,excluded,65,
489,share_type_id,65,
490,protect_id,65,
491,group_id,66,
492,user_id,66,
493,time_value,66,
494,source_id,66,
495,last_update,66,
496,excluded,66,
497,share_type_id,66,
498,protect_id,66,
499,phrase_id_1,67,
500,phrase_id_2,67,
501,phrase_id_3,67,
502,phrase_id_4,67,
503,time_value,67,
504,source_id,67,
505,last_update,67,
506,user_id,67,
507,excluded,67,
508,share_type_id,67,
509,protect_id,67,
510,phrase_id_1,68,
511,phrase_id_2,68,
512,phrase_id_3,68,
513,phrase_id_4,68,
514,user_id,68,
515,time_value,68,
516,source_id,68,
517,last_update,68,
518,excluded,68,
519,share_type_id,68,
520,protect_id,68,
521,group_id,69,
522,time_value,69,
523,source_id,69,
524,last_update,69,
525,user_id,69,
526,excluded,69,
527,share_type_id,69,
528,protect_id,69,
529,group_id,70,
530,user_id,70,
531,time_value,70,
532,source_id,70,
533,last_update,70,
534,excluded,70,
535,share_type_id,70,
536,protect_id,70,
537,phrase_id_1,71,
538,phrase_id_2,71,
539,phrase_id_3,71,
540,phrase_id_4,71,
541,geo_value,71,
542,source_id,71,
543,group_id,72,
544,geo_value,72,
545,source_id,72,
546,group_id,73,
547,geo_value,73,
548,source_id,73,
549,last_update,73,
550,user_id,73,
551,excluded,73,
552,share_type_id,73,
553,protect_id,73,
554,group_id,74,
555,user_id,74,
556,geo_value,74,
557,source_id,74,
558,last_update,74,
559,excluded,74,
560,share_type_id,74,
561,protect_id,74,
562,phrase_id_1,75,
563,phrase_id_2,75,
564,phrase_id_3,75,
565,phrase_id_4,75,
566,geo_value,75,
567,source_id,75,
568,last_update,75,
569,user_id,75,
570,excluded,75,
571,share_type_id,75,
572,protect_id,75,
573,phrase_id_1,76,
574,phrase_id_2,76,
575,phrase_id_3,76,
576,phrase_id_4,76,
577,user_id,76,
578,geo_value,76,
579,source_id,76,
580,last_update,76,
581,excluded,76,
582,share_type_id,76,
583,protect_id,76,
584,group_id,77,
585,geo_value,77,
586,source_id,77,
587,last_update,77,
588,user_id,77,
589,excluded,77,
590,share_type_id,77,
591,protect_id,77,
592,group_id,78,
593,user_id,78,
594,geo_value,78,
595,source_id,78,
596,last_update,78,
597,excluded,78,
598,share_type_id,78,
599,protect_id,78,
600,group_id,79,
601,value_time_series_id,79,
602,source_id,79,
603,last_update,79,
604,user_id,79,
605,excluded,79,
606,share_type_id,79,
607,protect_id,79,
608,group_id,80,
609,user_id,80,
610,value_time_series_id,80,
611,source_id,80,
612,last_update,80,
613,excluded,80,
614,share_type_id,80,
615,protect_id,80,
616,phrase_id_1,81,
617,phrase_id_2,81,
618,phrase_id_3,81,
619,phrase_id_4,81,
620,value_time_series_id,81,
621,source_id,81,
622,last_update,81,
623,user_id,81,
624,excluded,81,
625,share_type_id,81,
626,protect_id,81,
627,phrase_id_1,82,
628,phrase_id_2,82,
629,phrase_id_3,82,
630,phrase_id_4,82,
631,user_id,82,
632,value_time_series_id,82,
633,source_id,82,
634,last_update,82,
635,excluded,82,
636,share_type_id,82,
637,protect_id,82,
638,group_id,83,
639,value_time_series_id,83,
640,source_id,83,
641,last_update,83,
642,user_id,83,
643,excluded,83,
644,share_type_id,83,
645,protect_id,83,
646,group_id,84,
647,user_id,84,
648,value_time_series_id,84,
649,source_id,84,
650,last_update,84,
651,excluded,84,
652,share_type_id,84,
653,protect_id,84,
654,formula_id,10,
655,view_id,10,
656,usage,10,
657,object_catalog,85,
658,object_schema,85,
659,object_name,85,
660,object_type,85,
661,collection_type_identifier,85,
662,data_type,85,
663,character_maximum_length,85,
664,character_octet_length,85,
665,character_set_catalog,85,
666,character_set_schema,85,
667,character_set_name,85,
668,collation_catalog,85,
669,collation_schema,85,
670,collation_name,85,
671,numeric_precision,85,
672,numeric_precision_radix,85,
673,numeric_scale,85,
674,datetime_precision,85,
675,interval_type,85,
676,interval_precision,85,
677,domain_default,85,
678,udt_catalog,85,
679,udt_schema,85,
680,udt_name,85,
681,scope_catalog,85,
682,scope_schema,85,
683,scope_name,85,
684,maximum_cardinality,85,
685,dtd_identifier,85,
686,element_type_id,85,
687,type_name,85,
688,code_id,85,
689,description,85,
690,formula_type_id,86,
691,type_name,86,
692,code_id,86,
693,description,86,
694,formula_id,11,
695,user_id,11,
696,view_id,11,
697,usage,11,
698,formula_link_id,12,
699,user_id,12,
700,order_nbr,12,
701,formula_id,12,
702,phrase_id,12,
703,formula_link_type_id,87,
704,type_name,87,
705,code_id,87,
706,description,87,
707,formula_id,87,
708,phrase_type_id,87,
709,link_type_id,87,
710,formula_link_id,13,
711,user_id,13,
712,order_nbr,13,
713,view_type_id,88,
714,type_name,88,
715,code_id,88,
716,description,88,
717,view_id,15,
718,user_id,15,
719,language_id,15,
720,view_name,15,
721,view_term_link_id,89,
722,term_id,89,
723,view_id,89,
724,type_id,89,
725,user_id,89,
726,view_link_type_id,89,
727,description,89,
728,excluded,89,
729,share_type_id,89,
730,protect_id,89,
731,view_link_type_id,90,
732,type_name,90,
733,code_id,90,
734,description,90,
735,view_term_link_id,91,
736,user_id,91,
737,view_link_type_id,91,
738,description,91,
739,excluded,91,
740,share_type_id,91,
741,protect_id,91,
742,component_id,18,
743,user_id,18,
744,linked_component_id,18,
745,component_link_type_id,18,
746,component_type_id,92,
747,type_name,92,
748,code_id,92,
749,description,92,
750,component_id,19,
751,user_id,19,
752,linked_component_id,19,
753,component_link_type_id,19,
754,component_link_id,16,
755,view_id,16,
756,component_id,16,
757,user_id,16,
758,component_link_type_id,16,
759,component_link_type_id,93,
760,type_name,93,
761,code_id,93,
762,description,93,
763,position_type_id,94,
764,type_name,94,
765,code_id,94,
766,description,94,
767,component_link_id,17,
768,user_id,17,
769,component_link_type_id,17,
770,source_id,24,
771,numeric_value,95,
772,formula_link_type_id,12,
773,formula_link_type_id,13,
774,group_name,96,
775,numeric_value,97,
776,code_id,6,
